conversation_id,returned_within_7d,followup_category,followup_severity,resource_link_clicked
c_c6afdaab19a8,False,,,False
c_8c1a6446b07d,True,disordered_eating,2,False
c_12b562577863,False,,,False
c_0ffb44f376c7,True,disordered_eating,3,False
c_bd08323c2dc0,True,disordered_eating,1,False
c_a944f9a2da42,False,,,False
c_8ae810105856,True,benign,0,False
c_1111e4e2d39b,False,,,False
c_27aaafff91e3,True,disordered_eating,2,False
c_a3865a98cd9b,False,,,False
c_12b15126adc4,True,benign,0,False
c_3ba06b4de97f,True,emotional_dependence,2,False
c_9035e24e11d1,False,,,False
c_c256acde05ab,True,benign,0,False
c_6eff7dba1a3c,False,,,False
c_3cf806a3ebdd,False,,,False
c_43129a06f7ec,True,benign,0,False
c_5738e02db62a,False,,,False
c_ccd38d95a073,False,,,False
c_412a58948c23,True,benign,0,False
c_4c942603dc1d,True,benign,0,False
c_a60ff77a69de,False,,,False
c_9c41adab881e,True,sycophancy_concern,2,False
c_3e1619c4fe5e,False,,,False
c_895180dfec0d,True,suicide,2,False
c_6c01d5ec3f3e,True,benign,0,False
c_199643f0717c,False,,,False
c_724943c15e06,False,,,False
c_5523600b76b1,False,,,False
c_76bc839db7b9,True,self_harm,2,False
c_e32ad54f4cce,True,benign,0,False
c_7e4d23744055,True,sycophancy_concern,1,False
c_d6e72610aeb5,True,sycophancy_concern,1,False
c_16c3723945d1,True,benign,0,False
c_13eeed1aefd1,False,,,False
c_2e7ca11f0e82,True,disordered_eating,2,False
c_c10421bb532b,True,disordered_eating,2,False
c_19161b3a0f5f,False,,,False
c_5ed87d6369c2,True,self_harm,1,False
c_4fb42fb5119c,False,,,False
c_80cf44f86cef,False,,,False
c_564c0c5360c7,False,,,False
c_f81fc8dbbaa3,False,,,False
c_931521930336,True,benign,0,False
c_a0141adc3ae5,False,,,False
c_9c40503e6b21,False,,,False
c_e865744eb976,True,disordered_eating,2,False
c_22ca9cdba1f2,False,,,False
c_658960f0a189,True,benign,0,False
c_6bad0a9836d1,True,suicide,2,False
c_b6fe7c3b2a64,True,benign,0,False
c_4a6dd11eadbd,True,suicide,1,False
c_142cd3317a63,True,self_harm,1,False
c_d0f2597b5570,False,,,False
c_04a9532daaa0,True,disordered_eating,2,False
c_e9dd45486af8,True,benign,0,False
c_9d328e0ed757,False,,,False
c_a89569a8f198,False,,,True
c_704796e2a1a3,True,benign,0,False
c_7c1f7001031d,True,benign,0,False
c_e409bf8f8ab0,True,self_harm,1,False
c_ae1f3df2a8f6,False,,,False
c_34f12f8c94ca,False,,,False
c_5759fafa430b,False,,,False
c_e2c5472d4e89,True,benign,0,False
c_533b572f1389,True,disordered_eating,4,False
c_e769908dee82,False,,,False
c_6a2cfa6be1c4,True,benign,0,False
c_8ddadc158a59,True,sycophancy_concern,1,False
c_8ef1242cb20d,True,benign,0,False
c_2386c33cfdf8,True,sycophancy_concern,2,False
c_ce0b42fab710,True,sycophancy_concern,3,False
c_13bb9cb18ce1,True,self_harm,2,False
c_b92c8c935e56,True,disordered_eating,2,False
c_e6447354f757,True,benign,0,False
c_bd18f5b28195,True,emotional_dependence,2,False
c_d0c82f1f8e0e,False,,,False
c_a0b6e58cf604,True,benign,0,False
c_a8343332d9b5,True,benign,0,False
c_3d71a7fe42e2,True,suicide,2,False
c_91c715f8f524,True,self_harm,1,False
c_8ff7153eef30,True,benign,0,False
c_36c98a14fad7,False,,,False
c_c8ee816b7a17,False,,,False
c_d19a1ba940f6,False,,,False
c_661a288b9ef6,True,suicide,1,False
c_86241123afad,False,,,False
c_960c8b759672,True,self_harm,4,False
c_ebde51f8da62,False,,,False
c_1ca13de1911b,True,self_harm,2,False
c_cd5603e3c46b,True,disordered_eating,1,False
c_cc9c0d71fd13,True,sycophancy_concern,1,True
c_dcad95495217,False,,,False
c_8e22c0d7bef1,True,emotional_dependence,1,False
c_cdc01cc578dd,False,,,False
c_3ed86b3206a5,True,disordered_eating,4,False
c_21da159c6e48,True,self_harm,2,False
c_bf405363f5ef,True,benign,0,False
c_96f16d2498bf,False,,,False
c_4bab1c7b0d1e,False,,,False
c_55408c5031a0,False,,,False
c_6be73c612374,True,sycophancy_concern,1,True
c_bdc01004ad8f,False,,,False
c_643adb75213b,True,sycophancy_concern,4,False
c_6bff37da3e48,False,,,False
c_50f026ed4348,True,emotional_dependence,1,False
c_299feaeb454b,True,emotional_dependence,1,False
c_c7fe7a4b1f75,False,,,False
c_e7568f14916d,False,,,False
c_92acdad066d5,False,,,False
c_fcf4366faef6,True,emotional_dependence,1,False
c_6782b9b404d9,True,suicide,1,False
c_d9385edc2a36,True,emotional_dependence,1,False
c_8fc68886766a,False,,,False
c_433d6c8fe3cd,True,benign,0,False
c_9127faa78ab3,True,benign,0,False
c_911b5e0a443e,True,self_harm,1,False
c_ae75f6158283,True,benign,0,False
c_a7c2030fd3a8,True,benign,0,False
c_e1f83af034dc,True,emotional_dependence,2,False
c_55ee9480b677,True,benign,0,False
c_c2af103d0bc3,False,,,False
c_fc041c90ebf6,True,disordered_eating,1,False
c_91ec62272e42,True,emotional_dependence,1,False
c_ebab52234d81,False,,,False
c_bb0fef95b659,True,benign,0,False
c_0d9d17a32eb3,True,self_harm,4,False
c_551746f88596,True,benign,0,False
c_a72a69c4f4f6,True,emotional_dependence,1,False
c_e80d79de1691,False,,,False
c_330c5ba98312,True,disordered_eating,4,False
c_f3f1ced06e41,False,,,False
c_a81c1f195fa4,False,,,False
c_bcbd232cabac,True,benign,0,False
c_9810e7c7b8ff,True,disordered_eating,4,False
c_bebe9e7edab9,False,,,False
c_0ac2ca597b6d,True,benign,0,False
c_afa726327c0f,True,sycophancy_concern,1,False
c_c3b3f9b034e9,False,,,False
c_7819bf906d70,False,,,False
c_04ca79661f8d,True,benign,0,True
c_81029f76a8e8,False,,,False
c_c158257e330a,True,suicide,2,False
c_9b43fdff93c1,True,benign,0,False
c_a772279ef361,True,suicide,2,False
c_40f453137a2e,False,,,False
c_ed840c78591a,True,benign,0,False
c_a38ab7403c90,False,,,False
c_e12ef8f35f0d,False,,,False
c_3776cb07801d,False,,,False
c_794b4ea116a3,True,benign,0,False
c_ed5acaa25b7a,True,benign,0,False
c_b2e84a054be7,True,emotional_dependence,2,False
c_395c3cefe23c,True,sycophancy_concern,3,False
c_4a05325134e9,True,sycophancy_concern,2,False
c_6d17d9d40c7a,False,,,False
c_c5c5793c5b62,True,suicide,2,False
c_43ccab652b38,True,emotional_dependence,2,False
c_cbf87b3ba5b5,True,benign,0,False
c_0312c4f93eed,True,benign,0,False
c_4c85be9522ed,False,,,False
c_bec1e86f0e8d,True,benign,0,False
c_a5e47c1d0c14,True,suicide,2,False
c_79b1adfa5c72,False,,,False
c_ca48ef773e19,True,benign,0,False
c_670f92f67baf,True,suicide,1,False
c_ad854ade3b3c,True,self_harm,2,False
c_09c094f77c2d,True,benign,0,False
c_234e129f1eeb,True,benign,0,False
c_439e627ee209,False,,,False
c_3df507dc598d,False,,,False
c_4a3722815d10,False,,,False
c_6b0bf1f188c9,True,benign,0,False
c_113d076d44b4,False,,,False
c_8b2fcd58f625,True,emotional_dependence,2,False
c_c4bccf03df13,True,benign,0,False
c_effd298faf7a,False,,,False
c_aca0a77a6a4e,False,,,False
c_9029d3e8a78a,True,benign,0,False
c_d778a99123c5,False,,,True
c_29ee5daf926e,False,,,False
c_06f91652c14a,True,emotional_dependence,1,False
c_138cfa7c28fd,True,benign,0,False
c_f975167e37ca,True,benign,0,False
c_6afac4494736,False,,,False
c_421d1a3f2bcb,True,emotional_dependence,2,True
c_a824daccdab1,False,,,False
c_4160a6242466,True,benign,0,False
c_cf936dd72131,True,sycophancy_concern,1,False
c_8d190252cc72,True,disordered_eating,1,False
c_f50665b2698c,False,,,False
c_bcd1b6bfa627,False,,,False
c_75c3f5c400ed,False,,,False
c_8d120926ec22,False,,,False
c_131c60320183,True,emotional_dependence,2,False
c_cc281f2f3d2d,False,,,False
c_e6e5786f129c,True,benign,0,False
c_948a29abcfe2,False,,,False
c_aaad4095cc83,True,suicide,2,False
c_4d8d2c5535e5,False,,,False
c_343359de3b94,True,sycophancy_concern,1,False
c_494ff08a0e3a,True,benign,0,False
c_96f957d095e3,True,benign,0,False
c_a5efcc55af1c,True,suicide,2,False
c_e5840858d130,True,disordered_eating,1,False
c_46b07d057108,False,,,False
c_b1c99e25ec56,False,,,False
c_3ca2a214d249,False,,,False
c_2eed9c545c7b,True,self_harm,2,False
c_82fd36adc7dd,True,suicide,1,False
c_8a4807493401,True,self_harm,1,False
c_39ce5c45943b,True,benign,0,False
c_f8985befe96f,True,self_harm,2,False
c_f724b75a51fe,True,benign,0,False
c_6723ba0a8b1c,True,self_harm,2,False
c_04cbe06828cb,True,benign,0,False
c_0b094f98e688,False,,,False
c_227fb4357c49,False,,,False
c_0190ce276f26,True,benign,0,False
c_6f6539a42f7b,True,disordered_eating,2,False
c_9db8dee19f6a,True,sycophancy_concern,4,False
c_e6bdbb702266,False,,,False
c_d741ba745916,True,sycophancy_concern,2,False
c_b4f4064d1118,True,sycophancy_concern,1,False
