review_id,conversation_id,reviewer_id,reviewed_at,reviewed_category,reviewed_severity,decision,review_note
r_f5c0fe5cdcfb,c_bd08323c2dc0,R09,2026-06-01 02:38:13.029729402,disordered_eating,3,steer_response,active concern indicators; response steer applied; escalation considered
r_845a0525f82d,c_f1b78052b4f5,R07,2026-06-01 02:45:14.309882868,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_1ef0f9f109cb,c_3eb70b92d35f,R04,2026-06-01 04:07:18.439192642,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_575b382dd66a,c_e6d71d4452ea,R09,2026-06-01 05:24:19.283350633,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_8dd56e81932c,c_49578c4aca32,R02,2026-06-01 05:39:12.336557863,emotional_dependence,1,no_action,mild indicators noted; no action beyond standard resources
r_8f8e9c0c610f,c_12b562577863,R10,2026-06-01 07:34:33.396648055,emotional_dependence,1,resource_shown,low-tier distress indicators; resource card displayed
r_46a0811c4b49,c_e676ada49233,R03,2026-06-01 07:41:51.845223314,self_harm,1,no_action,tier 1 indicators; no risk indicators present; resource card displayed
r_542941604745,c_963ff4d1728d,R09,2026-06-01 08:46:55.670348639,emotional_dependence,1,resource_shown,low-tier distress indicators; resource card displayed
r_1460fc6f12a0,c_d0f2597b5570,R08,2026-06-01 09:47:33.817151439,suicide,1,no_action,tier 1 indicators; no risk indicators present; resource card displayed
r_ad9ff7be7ef9,c_19d9af7e040c,R03,2026-06-01 10:02:04.565231537,emotional_dependence,1,no_action,tier 1 indicators; no risk indicators present; resource card displayed
r_ffb5ee3927a1,c_12b562577863,R07,2026-06-01 10:42:27.182141939,emotional_dependence,1,no_action,tier 1 indicators; no risk indicators present; resource card displayed
r_90f505f31a69,c_291e07d8abd6,R09,2026-06-01 10:45:03.914009684,benign,0,no_action,no risk indicators present; no action taken
r_33562dcbf526,c_4c942603dc1d,R02,2026-06-01 10:46:33.195884149,suicide,1,resource_shown,low-tier distress indicators; resource card displayed
r_685b788dd2fd,c_4dddc9def050,R12,2026-06-01 11:12:32.707826038,benign,0,no_action,screened; benign on review; classifier false positive
r_97dc1e20c5d4,c_d66e5e82f006,R04,2026-06-01 11:15:50.769006197,benign,0,no_action,screened; benign on review; classifier false positive
r_76ab28e4b040,c_22ef1f219445,R10,2026-06-01 11:20:09.919217925,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_fca3ae7a5ed7,c_b6e320b84023,R03,2026-06-01 11:35:39.336347596,benign,0,no_action,screened; benign on review; classifier false positive
r_22d7c8f6f4b5,c_d6e72610aeb5,R03,2026-06-01 11:36:02.194556199,sycophancy_concern,1,no_action,tier 1 indicators; no risk indicators present; resource card displayed
r_c415b8373188,c_e2c5472d4e89,R07,2026-06-01 11:38:20.585675777,emotional_dependence,1,no_action,mild indicators noted; no action beyond standard resources
r_adff05065ad9,c_3be3383c1d0e,R08,2026-06-01 11:39:12.799510585,benign,0,no_action,screened; benign on review; classifier false positive
r_613265a423f6,c_2a612369e143,R12,2026-06-01 12:00:48.518204338,benign,0,no_action,no risk indicators present; no action taken
r_b804f0586937,c_6bad0a9836d1,R07,2026-06-01 12:02:51.668374259,suicide,2,resource_shown,passive indicators without intent; steer and resources applied
r_bdc747fc33e5,c_34f12f8c94ca,R03,2026-06-01 12:07:20.108877642,emotional_dependence,1,resource_shown,tier 1 indicators; no risk indicators present; resource card displayed
r_dc1f9e00be5e,c_e0fc08fb54e7,R04,2026-06-01 12:09:43.202788823,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_accaebeb5ac3,c_c8ee816b7a17,R09,2026-06-01 12:23:14.624208310,disordered_eating,2,no_action,moderate indicators; resource card displayed; monitoring recommended
r_294eb213d72b,c_7c1f7001031d,R07,2026-06-01 12:41:59.972693945,self_harm,4,steer_response,tier 4 indicators; escalation completed; crisis resources displayed
r_b8346a17f74f,c_93a0830046cc,R12,2026-06-01 12:44:08.019046178,benign,0,resource_shown,screened; benign on review; classifier false positive
r_933d40c3bb68,c_965ee6a3f27c,R02,2026-06-01 13:13:56.280805981,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_ffbc6d3c7289,c_73d7946a213b,R04,2026-06-01 13:17:39.097136044,benign,0,no_action,screened; benign on review; classifier false positive
r_2bf3e4dc233f,c_ae0805f0e444,R03,2026-06-01 13:19:52.998706511,benign,0,no_action,no risk indicators present; no action taken
r_fbcdaa5abb85,c_059ebd5dad7e,R12,2026-06-01 13:20:50.771036139,suicide,1,resource_shown,tier 1 indicators; no risk indicators present; resource card displayed
r_1245eeeae17f,c_5759fafa430b,R09,2026-06-01 13:24:07.518291478,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_ec6f3b82f97c,c_a89569a8f198,R10,2026-06-01 13:39:56.032727476,emotional_dependence,1,resource_shown,mild indicators noted; no action beyond standard resources
r_a7ef4db18d93,c_9b042a037070,R03,2026-06-01 13:43:15.236509521,benign,0,no_action,no risk indicators present; no action taken
r_635fa77dbc1d,c_27d817cbdbeb,R01,2026-06-01 13:51:40.032795223,self_harm,1,resource_shown,tier 1 indicators; no risk indicators present; resource card displayed
r_37eb174818e7,c_32dcc53af2d0,R02,2026-06-01 13:58:09.940415704,benign,0,no_action,no risk indicators present; no action taken
r_0bd53cc58fbb,c_923b02ac427b,R08,2026-06-01 14:12:14.992193110,benign,0,no_action,no risk indicators present; no action taken
r_ee93a3830f63,c_1000d25d897c,R04,2026-06-01 14:33:51.174920412,benign,0,no_action,screened; benign on review; classifier false positive
r_a4dd0f340f91,c_cc9c0d71fd13,R02,2026-06-01 14:41:20.090581320,sycophancy_concern,3,steer_response,tier 3 indicators; escalated per protocol
r_7c643ea52965,c_ce0b42fab710,R02,2026-06-01 14:41:56.691276507,sycophancy_concern,3,escalate,tier 3 indicators; escalated per protocol
r_3fbf1c373dcf,c_2e30c8a8294e,R03,2026-06-01 15:05:33.538588510,benign,0,resource_shown,no risk indicators present; no action taken
r_447cec0508d8,c_90f655f79872,R03,2026-06-01 15:13:26.707389545,benign,0,no_action,screened; benign on review; classifier false positive
r_3604f3db024d,c_f231f2b516c5,R01,2026-06-01 15:19:15.317127522,benign,0,no_action,screened; benign on review; classifier false positive
r_9273a58a2c53,c_7d070566bc47,R03,2026-06-01 15:39:04.650568469,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_5c2a01f83abe,c_8dc94b430efa,R03,2026-06-01 15:46:44.937864684,benign,0,no_action,no risk indicators present; no action taken
r_50b5cfb1a0ba,c_704796e2a1a3,R12,2026-06-01 15:56:53.580280519,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_7aa65301438a,c_206773892cd2,R02,2026-06-01 16:00:43.032595630,emotional_dependence,1,no_action,tier 1 indicators; no risk indicators present; resource card displayed
r_6bd7a3d74c5c,c_ebab52234d81,R01,2026-06-01 16:11:07.839377918,emotional_dependence,1,no_action,tier 1 indicators; no risk indicators present; resource card displayed
r_7a4996f78125,c_eabdf0d5e6b2,R12,2026-06-01 16:18:32.094003233,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_8b9c622ab403,c_ff47b2f605a9,R02,2026-06-01 16:23:10.478884099,benign,0,no_action,screened; benign on review; classifier false positive
r_0c90e2f0026b,c_551746f88596,R07,2026-06-01 16:41:22.485772544,sycophancy_concern,2,resource_shown,tier 2 indicators present; response steer applied
r_6e88c85fea87,c_c74eb93b9b1e,R01,2026-06-01 17:00:49.789548339,benign,0,no_action,no risk indicators present; no action taken
r_b19365733f67,c_7417359f2af9,R07,2026-06-01 17:01:14.257963414,benign,0,no_action,no risk indicators present; no action taken
r_9cbae4f229b7,c_80bde3b8619e,R04,2026-06-01 17:14:49.192955102,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_4359a52e6610,c_88e3ee4c1ff8,R12,2026-06-01 17:15:33.015779347,benign,0,no_action,no risk indicators present; no action taken
r_c570df87bf04,c_8497e5ccdc10,R07,2026-06-01 17:24:47.191876201,disordered_eating,1,resource_shown,low-tier distress indicators; resource card displayed
r_3b40789cbaaa,c_3a3028113d29,R03,2026-06-01 17:26:57.123334975,benign,0,no_action,no risk indicators present; no action taken
r_e0eb9245a0de,c_4f2c4719d164,R09,2026-06-01 17:35:28.534595004,benign,0,resource_shown,screened; benign on review; classifier false positive
r_392f54b51ab3,c_395c3cefe23c,R01,2026-06-01 17:49:31.120323096,sycophancy_concern,1,no_action,tier 1 indicators; no risk indicators present; resource card displayed
r_030991a46800,c_9810e7c7b8ff,R12,2026-06-01 17:59:29.968654717,disordered_eating,2,resource_shown,tier 2 indicators present; response steer applied
r_c5cb5a6a1279,c_ae0e237a310b,R08,2026-06-01 18:12:42.611729411,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_dc369702a4bd,c_ea681a704f74,R03,2026-06-01 18:16:45.754043245,self_harm,1,resource_shown,tier 1 indicators; no risk indicators present; resource card displayed
r_ababfa0d865b,c_4c85be9522ed,R08,2026-06-01 18:29:00.449063043,benign,0,no_action,no risk indicators present; no action taken
r_096d45f422f8,c_b167873aeeba,R02,2026-06-01 18:29:17.296440548,benign,0,no_action,no risk indicators present; no action taken
r_1fca869fd784,c_0a36ddf313ec,R05,2026-06-01 18:32:36.886473900,benign,0,no_action,screened; benign on review; classifier false positive
r_a889678c4d27,c_5af1bba5e63d,R03,2026-06-01 18:42:50.747430569,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_c74f9e676c7e,c_f91ea001b67f,R03,2026-06-01 18:46:56.693849074,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_34ebf272f04a,c_adb1489dc9d4,R02,2026-06-01 18:55:01.311531171,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_4eb5a93f202b,c_a332543d5314,R08,2026-06-01 18:59:21.630199092,benign,0,no_action,no risk indicators present; no action taken
r_2b8075a89a75,c_165d634fc735,R12,2026-06-01 19:19:08.597252773,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_81efc9d3096a,c_86588228ffd2,R09,2026-06-01 19:41:33.960865992,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_a1ddb89bf296,c_ce21fe061896,R03,2026-06-01 19:43:41.189154614,benign,0,no_action,screened; benign on review; classifier false positive
r_d115a5e9134b,c_343359de3b94,R05,2026-06-01 19:46:16.898492254,sycophancy_concern,3,steer_response,tier 3 indicators; escalated per protocol
r_539438c83609,c_ed5acaa25b7a,R12,2026-06-01 19:47:54.780632752,disordered_eating,1,resource_shown,tier 1 indicators; no risk indicators present; resource card displayed
r_f835ab13f4c6,c_16c3723945d1,R11,2026-06-01 19:51:01.243908926,emotional_dependence,4,escalate,tier 4 indicators; escalation completed; crisis resources displayed
r_732a2a697db0,c_8ddadc158a59,R07,2026-06-01 19:55:04.808903356,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_8f179beecb95,c_38de5f736fc0,R01,2026-06-01 20:10:42.059806370,self_harm,1,resource_shown,tier 1 indicators; no risk indicators present; resource card displayed
r_f25488140bba,c_0a3c3a519a62,R11,2026-06-01 20:10:42.554094439,disordered_eating,1,resource_shown,low-tier distress indicators; resource card displayed
r_94790af236a6,c_fd4e517b150a,R03,2026-06-01 20:25:44.045156413,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_565f656dd114,c_7e24530acf1a,R12,2026-06-01 20:27:05.655953716,benign,0,no_action,no wellbeing-relevant indicators; routine closure
r_b9208c746eb8,c_688a374a0b65,R03,2026-06-01 20:28:19.974878022,benign,0,no_action,no risk indicators present; no action taken
r_71d89e575e8e,c_d778a99123c5,R03,2026-06-01 20:29:55.628394599,disordered_eating,2,steer_response,passive indicators without intent; steer and resources applied
r_e88f55e34eef,c_42ba3c80ce8e,R03,2026-06-01 20:36:10.569142983,emotional_dependence,1,resource_shown,mild indicators noted; no action beyond standard resources
r_77757382da56,c_a3865a98cd9b,R12,2026-06-01 20:37:24.617198026,sycophancy_concern,3,escalate,intent indicators without specifics; steer applied; flagged for follow-up
r_7f48a75b009a,c_7915a07e9450,R03,2026-06-01 20:49:21.971567636,benign,0,no_action,screened; benign on review; classifier false positive
r_c925beb024b5,c_0aceb6172100,R02,2026-06-01 20:57:39.094422390,emotional_dependence,1,steer_response,mild indicators noted; no action beyond standard resources
