intervention_id,conversation_id,intervention_type,variant,shown_at
i_b25c84db21c6,c_c6afdaab19a8,both,A,2026-06-01 00:13:25
i_be1afdf3f8ba,c_12b562577863,both,A,2026-06-01 00:24:28
i_2f47c6e8a543,c_bd08323c2dc0,both,A,2026-06-01 00:30:58
i_b2358cbfc081,c_a3865a98cd9b,resource_card,A,2026-06-01 01:00:02
i_3cfab5a6ac17,c_e32ad54f4cce,both,A,2026-06-01 05:17:43
i_f737297de09a,c_d6e72610aeb5,resource_card,A,2026-06-01 05:52:59
i_bf8836426948,c_16c3723945d1,resource_card,A,2026-06-01 06:00:27
i_7e72d6811ba0,c_13eeed1aefd1,resource_card,A,2026-06-01 07:04:27
i_e22c63856610,c_a0141adc3ae5,both,A,2026-06-01 08:31:02
i_776d947e11f8,c_22ca9cdba1f2,resource_card,A,2026-06-01 09:07:03
i_c8f79161701c,c_6bad0a9836d1,resource_card,A,2026-06-01 09:18:00
i_fd31d0f7328b,c_a89569a8f198,resource_card,A,2026-06-01 09:40:28
i_cf0362753ef7,c_704796e2a1a3,resource_card,A,2026-06-01 09:41:43
i_6db97fbc6439,c_7c1f7001031d,resource_card,A,2026-06-01 09:43:35
i_94c512c7f28c,c_34f12f8c94ca,resource_card,A,2026-06-01 09:56:19
i_e812deafc5e5,c_5759fafa430b,both,A,2026-06-01 09:59:48
i_5cadcb10d30d,c_8ddadc158a59,resource_card,A,2026-06-01 10:28:06
i_b66a82980cab,c_ce0b42fab710,resource_card,A,2026-06-01 10:40:52
i_f181edf0c760,c_a8343332d9b5,resource_card,A,2026-06-01 11:11:16
i_4c682b116576,c_960c8b759672,both,A,2026-06-01 12:13:22
i_19cd23599db3,c_cc9c0d71fd13,resource_card,A,2026-06-01 12:21:49
i_5515418a4d8b,c_8e22c0d7bef1,resource_card,A,2026-06-01 12:34:44
i_7e5465219508,c_3ed86b3206a5,resource_card,A,2026-06-01 12:42:19
i_f39c85e85f0d,c_6be73c612374,resource_card,A,2026-06-01 13:04:22
i_320c4076a498,c_6bff37da3e48,resource_card,A,2026-06-01 13:19:33
i_08443e84c38c,c_9127faa78ab3,resource_card,A,2026-06-01 14:15:46
i_805e5448001f,c_ae75f6158283,resource_card,A,2026-06-01 14:16:46
i_ab5d69a21df8,c_e1f83af034dc,resource_card,A,2026-06-01 14:28:33
i_418ad2570ae1,c_55ee9480b677,both,A,2026-06-01 14:33:00
i_0b452a2eb19c,c_0d9d17a32eb3,resource_card,A,2026-06-01 14:47:14
i_f9589505874c,c_551746f88596,both,A,2026-06-01 14:49:24
i_ff1e60b80ae4,c_330c5ba98312,both,A,2026-06-01 14:52:16
i_0e4b88b0b16a,c_9810e7c7b8ff,resource_card,A,2026-06-01 15:06:05
i_88713cfb0f54,c_04ca79661f8d,resource_card,A,2026-06-01 15:24:16
i_076c1d37ecd8,c_c158257e330a,resource_card,A,2026-06-01 15:35:49
i_d54058d68321,c_ed5acaa25b7a,both,A,2026-06-01 16:27:50
i_b38d0266b37d,c_b2e84a054be7,resource_card,A,2026-06-01 16:28:56
i_74d643a858b0,c_395c3cefe23c,resource_card,A,2026-06-01 16:30:08
i_af008a6edcf5,c_0312c4f93eed,resource_card,A,2026-06-01 16:36:50
i_ecdbe2ea1145,c_4c85be9522ed,resource_card,A,2026-06-01 16:39:15
i_4a1463555ef6,c_a5e47c1d0c14,resource_card,A,2026-06-01 16:43:15
i_6bcd222d9246,c_670f92f67baf,both,A,2026-06-01 16:49:04
i_2c19d8395609,c_ad854ade3b3c,both,A,2026-06-01 16:49:33
i_f085dc733fd0,c_09c094f77c2d,both,A,2026-06-01 17:08:50
i_192151b98d2a,c_234e129f1eeb,resource_card,A,2026-06-01 17:09:38
i_ef1c24fbb385,c_439e627ee209,resource_card,A,2026-06-01 17:19:46
i_c520c1d361a6,c_4a3722815d10,resource_card,A,2026-06-01 17:25:03
i_fde7be60ac0b,c_6b0bf1f188c9,resource_card,A,2026-06-01 17:26:03
i_1775ef8b4ead,c_c4bccf03df13,resource_card,A,2026-06-01 17:35:09
i_09cbc8f576fd,c_9029d3e8a78a,resource_card,A,2026-06-01 18:01:18
i_afa809adc37c,c_d778a99123c5,resource_card,A,2026-06-01 18:02:04
i_4e5faa918043,c_29ee5daf926e,both,A,2026-06-01 18:02:07
i_7f95621f5ec4,c_421d1a3f2bcb,resource_card,A,2026-06-01 18:15:37
i_2327b1f3bbf0,c_4160a6242466,resource_card,A,2026-06-01 18:20:32
i_e77d296a5728,c_8d190252cc72,both,A,2026-06-01 18:21:09
i_fb409a944dcc,c_4d8d2c5535e5,resource_card,A,2026-06-01 18:50:54
i_25d012894809,c_343359de3b94,both,A,2026-06-01 18:55:25
i_4925ae96586b,c_e5840858d130,resource_card,A,2026-06-01 19:13:33
i_be1011c63037,c_46b07d057108,both,A,2026-06-01 19:21:06
i_18d1133da862,c_3ca2a214d249,resource_card,A,2026-06-01 19:25:36
i_d356e793ab2e,c_6723ba0a8b1c,resource_card,A,2026-06-01 19:41:30
i_2268a55d7e0e,c_0b094f98e688,resource_card,A,2026-06-01 19:42:10
i_d88bfe9bc435,c_0190ce276f26,resource_card,A,2026-06-01 19:46:52
i_02ace53d73ea,c_9db8dee19f6a,resource_card,A,2026-06-01 19:52:47
i_fc1ca5ca0ca1,c_d741ba745916,resource_card,A,2026-06-01 19:59:07
i_e6afb79dcc7f,c_142ef2f065d3,resource_card,A,2026-06-01 20:09:46
i_80adda69097d,c_8ee4441937d7,both,A,2026-06-01 20:10:09
i_79d8349f299d,c_7dc1f0014fe6,both,A,2026-06-01 20:14:42
i_6acad9b908f0,c_df19a4ca6ff7,both,A,2026-06-01 20:15:18
i_cdd7c0f734f3,c_1f967180339d,resource_card,A,2026-06-01 20:18:42
i_095a0b4a87dc,c_ffe2ac38fb6f,resource_card,A,2026-06-01 20:18:54
i_777f48ff43ca,c_11f316e9ff5d,resource_card,A,2026-06-01 20:22:13
i_75e236ea48a9,c_b5c4508ed2f4,both,A,2026-06-01 20:55:10
i_9e3885a7b3f9,c_712e84cf498f,resource_card,A,2026-06-01 21:01:22
i_fb159232c8c7,c_02c716d16895,resource_card,A,2026-06-01 21:02:26
i_3611e1f89e96,c_d95de68547f3,resource_card,A,2026-06-01 21:02:56
i_0fdae63c9f98,c_6452e32e68a7,both,A,2026-06-01 21:25:31
i_c0a338da471a,c_0f285287a0c3,resource_card,A,2026-06-01 21:31:47
i_8bbadf467eb5,c_48821aa8455e,resource_card,A,2026-06-01 21:37:14
i_db5bc3471a46,c_cc97bb89ccce,resource_card,A,2026-06-01 21:38:27
i_49f1b8915103,c_4b198c5b4bea,resource_card,A,2026-06-01 21:48:13
i_8da48fd12891,c_a1f0598c1c74,resource_card,A,2026-06-01 21:49:36
i_522f5cad1170,c_5d9342a0b49a,both,A,2026-06-01 21:50:13
i_d63b1e9bd28c,c_7322ad31bef5,resource_card,A,2026-06-01 21:53:55
i_cc66e4858e3d,c_6b013a16e26f,resource_card,A,2026-06-01 22:06:57
i_c361d5a1638c,c_299ba3741d6c,both,A,2026-06-01 22:11:32
i_6176ab1d0172,c_93ac4ff0970b,resource_card,A,2026-06-01 22:11:38
i_1b0b69dd6790,c_b5a79cf00782,both,A,2026-06-01 22:30:15
i_428036cd7153,c_b835de5b615b,resource_card,A,2026-06-01 22:47:24
i_49fbc6a0a35d,c_5fe230ddaf0d,resource_card,A,2026-06-01 22:52:38
i_5070efc3cbe2,c_50f789158f1c,both,A,2026-06-01 23:03:15
i_73016f608cca,c_6aa3d8147ed6,resource_card,A,2026-06-01 23:29:45
i_d2993486cef8,c_373e44776f5b,resource_card,A,2026-06-01 23:30:50
i_4fb78a91edf5,c_1efe7e2f8518,both,A,2026-06-01 23:35:07
i_addbd916de9f,c_74d4b4518b91,both,A,2026-06-01 23:42:20
i_30e7e7cd9dd8,c_1ba51a964486,resource_card,A,2026-06-01 23:47:41
i_63b63a3099f8,c_99ed025ae9a0,both,A,2026-06-01 23:50:43
i_4bf24f67928a,c_3f50920a5e7a,both,A,2026-06-01 23:56:23
i_73a322cd3606,c_d5aeaca4d4d1,resource_card,A,2026-06-01 23:57:46
i_ded944be6213,c_fe5e149d5712,resource_card,A,2026-06-02 00:34:44
i_002ba850c1e9,c_13103ca42b61,resource_card,A,2026-06-02 02:04:33
i_3f444422c0c7,c_04af3af59a9b,both,A,2026-06-02 02:08:42
i_873575b5b08b,c_8670b72c3460,both,A,2026-06-02 03:23:40
i_5c854f5b60a8,c_294e266d3ad5,resource_card,A,2026-06-02 03:29:06
i_4457e2f9b29d,c_4b17d993a22d,both,A,2026-06-02 03:31:40
i_a9522e4a0089,c_cb68c3414dca,both,A,2026-06-02 03:40:47
i_a5381dabc10f,c_374773f6f366,both,A,2026-06-02 06:12:30
i_c133b65e6a8c,c_9addc5dda20b,both,A,2026-06-02 07:09:00
i_101b1771ea33,c_6fa64b0d921c,resource_card,A,2026-06-02 07:41:47
i_c98c228cc08a,c_c52946d89dce,resource_card,A,2026-06-02 09:10:38
i_647278ac671b,c_719bbeefd1d7,resource_card,A,2026-06-02 09:18:06
i_93872e28439a,c_0fb71c45ea35,resource_card,A,2026-06-02 09:20:31
i_0e99e8235d07,c_e9be207a809d,both,A,2026-06-02 09:23:07
i_af4a4bf77178,c_27049539e03f,resource_card,A,2026-06-02 09:32:06
i_18ef1b0b2039,c_f5107d056192,both,A,2026-06-02 09:45:42
i_c5f630a7c766,c_28fa0753d8ed,both,A,2026-06-02 09:53:52
i_2a1504f257a8,c_f3f75912645a,resource_card,A,2026-06-02 10:09:10
i_c58f4c49a241,c_412e304f0fc7,both,A,2026-06-02 10:21:50
i_e0d279d389ce,c_016064456644,resource_card,A,2026-06-02 10:38:21
i_bc6dfdef0ab2,c_6c9449fe5f16,resource_card,A,2026-06-02 10:52:58
i_ef825b4499d1,c_ee3b90f4d431,both,A,2026-06-02 11:10:49
i_79d49217f3f6,c_d4e84f21fc5c,resource_card,A,2026-06-02 11:18:47
i_26f10a26ff95,c_91e7f1ee5e4e,both,A,2026-06-02 11:44:40
i_a511ec515da4,c_334d0f5a7809,both,A,2026-06-02 12:02:47
i_6641ef83b426,c_4f2e1dffab37,resource_card,A,2026-06-02 12:06:42
i_dabb1ad5990e,c_a94f697f45dd,both,A,2026-06-02 12:15:19
i_3208680ddc6a,c_b39b09d2901e,resource_card,A,2026-06-02 12:15:56
i_7c11e150613d,c_4c33933c3590,both,A,2026-06-02 12:17:21
i_997c3043c739,c_a4391104ee03,resource_card,A,2026-06-02 12:28:19
i_713500e64278,c_d6b558e09084,resource_card,A,2026-06-02 12:48:45
i_fa641d60417b,c_874ba9904b8e,resource_card,A,2026-06-02 12:54:32
i_6c8c2e7ff133,c_3feb426fd9ec,resource_card,A,2026-06-02 13:04:53
i_f70ac0f96d5e,c_d4bd23a86cfb,both,A,2026-06-02 13:09:44
i_da9b6c341e66,c_d2ac657644c3,both,A,2026-06-02 13:31:55
i_89dfe309e1a8,c_2845614261be,both,A,2026-06-02 13:35:36
i_371749afeae8,c_e9516b961599,resource_card,A,2026-06-02 13:42:05
i_f5b002da87ef,c_9863d6b8d9ec,both,A,2026-06-02 13:42:08
i_c44d3514f259,c_9f66cdfb2637,both,A,2026-06-02 13:48:33
i_2d2a3a102a5c,c_718ebe9e8468,both,A,2026-06-02 14:03:40
i_d5d11d8afc2e,c_6bb67f12f83e,both,A,2026-06-02 14:18:34
i_7b434c79a709,c_a6567bb0d452,resource_card,A,2026-06-02 14:19:13
i_e2bef4fa01fe,c_bd8223ddaff5,both,A,2026-06-02 14:32:24
i_180c216b7ec6,c_39349c4e7eeb,resource_card,A,2026-06-02 14:32:36
i_3d7b114ae1aa,c_d70e552fc8da,resource_card,A,2026-06-02 14:49:14
i_f63302cd9c85,c_1af87361662c,resource_card,A,2026-06-02 14:50:30
i_a62792fc13d1,c_9dd506c27502,resource_card,A,2026-06-02 15:07:53
i_6e10e9225f45,c_2a284a9e38d9,both,A,2026-06-02 15:25:56
i_0c557dc38f08,c_f97c31c444fa,resource_card,A,2026-06-02 15:31:06
i_123c2bcf7d55,c_589a0d57588d,resource_card,A,2026-06-02 15:43:17
i_c3b69494a294,c_47970486f7db,both,A,2026-06-02 15:43:27
i_329a53f7fd83,c_2ae3bb848e18,resource_card,A,2026-06-02 16:22:38
i_ee28d5bc987e,c_2db87be8984c,both,A,2026-06-02 16:32:57
i_002b72211bc3,c_4a71ac012da0,both,A,2026-06-02 16:33:32
i_b5f25cd7a1e4,c_ef8374a5533a,both,A,2026-06-02 16:43:17
i_e96f782d9863,c_527249934ab3,resource_card,A,2026-06-02 16:53:34
i_5fd2c8056513,c_b8e8a7e51ea4,resource_card,A,2026-06-02 17:02:09
i_345a4f712bd9,c_e3548eba337b,both,A,2026-06-02 17:02:24
i_5827e8bd021d,c_4d14db002aea,both,A,2026-06-02 17:13:42
i_50629ed061d9,c_d3cca7ddbe87,resource_card,A,2026-06-02 17:15:09
i_9301e0b715d3,c_89201f35611c,resource_card,A,2026-06-02 17:28:53
i_8990af33716f,c_0f49a9b692ab,resource_card,A,2026-06-02 17:29:15
i_e6ff179ccac0,c_f36b0b3a71fa,both,A,2026-06-02 17:53:38
i_af7230af5cf1,c_083b9f545501,both,A,2026-06-02 17:58:28
i_319952351d06,c_c96d7e259e4a,resource_card,A,2026-06-02 18:00:16
i_4f106d22f673,c_c4fd596a58a7,resource_card,A,2026-06-02 18:01:34
i_bcdc326433af,c_b85abd2978db,resource_card,A,2026-06-02 18:28:01
i_144c157a518b,c_190d8eba5bb8,both,A,2026-06-02 18:34:24
i_590d6377c4e8,c_6ccfef4784b0,resource_card,A,2026-06-02 18:34:37
i_440ddc7d06e1,c_983e8e4be11a,resource_card,A,2026-06-02 18:37:42
i_b8ff20a85c0f,c_acb79bfe0af0,both,A,2026-06-02 18:54:23
i_0fc2d1292b61,c_91e75e0bfe82,resource_card,A,2026-06-02 19:09:38
i_a10a96e80eee,c_d83e9f377b9d,resource_card,A,2026-06-02 19:25:54
i_a91fff734cc9,c_b1cbd7645d65,resource_card,A,2026-06-02 19:27:48
i_c945a5c12ec0,c_bdf7510c812d,resource_card,A,2026-06-02 19:28:01
i_f05049631810,c_6815fd00b0de,both,A,2026-06-02 19:30:53
i_aa9e3e6792b1,c_37567fea27a9,resource_card,A,2026-06-02 19:32:21
i_6962ec5a1f25,c_3c6c29869a89,resource_card,A,2026-06-02 19:35:36
i_f9dbee067a5c,c_65ae23410120,resource_card,A,2026-06-02 19:41:27
i_89237b46e58a,c_e111ee158b99,resource_card,A,2026-06-02 19:49:33
i_b92910a52420,c_65b77c30e1f4,resource_card,A,2026-06-02 19:50:00
i_18743c49e7d1,c_b5a7ea86b1be,resource_card,A,2026-06-02 19:56:03
i_138055ef0f8b,c_7bbf26a052b9,resource_card,A,2026-06-02 20:10:39
i_b52e4e6d7ddd,c_b3ef0cc51687,both,A,2026-06-02 20:16:11
i_e7d2304b9921,c_3f7fae178924,resource_card,A,2026-06-02 20:24:26
i_ca89a9743e0f,c_57e8cb087559,resource_card,A,2026-06-02 20:41:19
i_3c803f23e080,c_450e42f7a373,both,A,2026-06-02 21:00:04
i_4748828cd542,c_ea5a5e4102e7,both,A,2026-06-02 21:00:43
i_05f9b4b2115f,c_b3e395244878,both,A,2026-06-02 21:02:22
i_b50e5798ce49,c_1472c433dd10,resource_card,A,2026-06-02 21:09:22
i_71c4bda8015c,c_d221d0e053ab,resource_card,A,2026-06-02 21:13:38
i_ad59988f5b41,c_3fb2b7fff419,both,A,2026-06-02 21:57:42
i_c23294a6961f,c_85990a6a9806,resource_card,A,2026-06-02 22:03:29
i_be95bc157705,c_9a1a5a3bf646,resource_card,A,2026-06-02 22:09:34
i_d032856f33a0,c_a70ca0d3e2c1,resource_card,A,2026-06-02 22:12:35
i_1103bfea0121,c_31a8202634e9,resource_card,A,2026-06-02 22:23:21
i_a0138e351635,c_c16704c982d9,resource_card,A,2026-06-02 22:24:57
i_174152922635,c_08a7d03bc8cc,resource_card,A,2026-06-02 22:39:46
i_e0e00258930d,c_0599a5d5af74,both,A,2026-06-02 22:52:56
i_da65de508a0c,c_77e4294ec639,resource_card,A,2026-06-02 23:15:16
i_4e9dbe67dc7a,c_6f66c2b03d30,resource_card,A,2026-06-02 23:20:30
i_e57fb7565240,c_495bb6dc6605,resource_card,A,2026-06-02 23:26:08
i_d3c3c82e82a1,c_a930873184da,resource_card,A,2026-06-02 23:59:56
i_60d8c22813cf,c_8e1a3cbff50b,resource_card,A,2026-06-03 00:03:41
i_ce14b0e9d1be,c_5a43238e4a29,resource_card,A,2026-06-03 01:06:15
i_0b8769bc02ee,c_d085877948ae,both,A,2026-06-03 01:30:28
i_f587c9795f6f,c_be7aae696f50,both,A,2026-06-03 01:31:20
i_13b18c57b4f8,c_9f7beb1f1541,both,A,2026-06-03 02:36:23
i_a1986da748e2,c_baa32ae53171,both,A,2026-06-03 03:11:36
i_fdf395882ff4,c_761afeb77862,resource_card,A,2026-06-03 03:29:33
i_b1ac009dbfbc,c_e432543485bf,resource_card,A,2026-06-03 04:07:40
i_1b26167412a3,c_6e318d8c53ea,resource_card,A,2026-06-03 04:36:32
i_62bea4021dd5,c_00319a964ecd,resource_card,A,2026-06-03 05:03:11
i_0ee4ae5a4d88,c_6b2641d6966f,resource_card,A,2026-06-03 05:46:48
i_23eefe649bb2,c_42597b2980f5,both,A,2026-06-03 06:22:42
i_363ace337c2e,c_208200b2c207,resource_card,A,2026-06-03 06:52:21
i_e71458352b0a,c_b79029c42fd7,both,A,2026-06-03 06:52:51
i_f034fa24e9df,c_9c910074b2df,both,A,2026-06-03 07:21:57
i_734f5f096ca3,c_d4da4a225b3a,resource_card,A,2026-06-03 07:31:47
i_76679fcc2561,c_05cb86f60844,resource_card,A,2026-06-03 07:44:50
i_3dda42e1bbaa,c_db684c0372e1,resource_card,A,2026-06-03 08:07:45
i_900f4b7475bb,c_abb343bdee6b,both,A,2026-06-03 08:51:08
i_d4ff052c67d8,c_7bb5601a7c56,resource_card,A,2026-06-03 09:01:56
i_2611ceaa5d1d,c_769869f24b8f,resource_card,A,2026-06-03 09:08:11
i_9c9fdb01d774,c_f4fc68b94b10,both,A,2026-06-03 09:10:35
i_465ede900d9b,c_caebfb7318da,both,A,2026-06-03 09:14:00
i_76a6e2c9b8f9,c_eb39b9a355f8,resource_card,A,2026-06-03 09:23:31
i_46b2db52c860,c_bc5f487f9dd1,resource_card,A,2026-06-03 09:28:11
i_b079924535a6,c_a3745b373b89,resource_card,A,2026-06-03 09:33:12
i_1a849d2b641e,c_7e1d54f41136,resource_card,A,2026-06-03 09:34:06
i_9f8389d1156d,c_9e762b92c698,resource_card,A,2026-06-03 09:40:21
i_537cfa1ef239,c_76e8a9da6313,resource_card,A,2026-06-03 09:42:36
i_0bed649274d9,c_dafc87d9bcd4,resource_card,A,2026-06-03 09:55:21
