reviewer_id,reviewer_handle,team,shift,onboarded_on
R01,johnsonjoshua,bravo,day,2025-01-22
R02,donaldgarcia,bravo,day,2025-10-02
R03,garzaanthony,charlie,swing,2025-03-23
R04,robinsonwilliam,bravo,day,2025-10-31
R05,hoffmanjennifer,alpha,day,2025-02-14
R06,lrobinson,alpha,day,2025-06-10
R07,lisa02,bravo,day,2023-10-17
R08,jpeterson,alpha,swing,2024-04-01
R09,susanrogers,charlie,day,2024-05-27
R10,jamesmichael,alpha,swing,2023-11-17
R11,cassandra07,charlie,night,2024-04-05
R12,dudleynicholas,charlie,day,2023-12-07
